experiment_name,prior_label,alpha_prior,beta_prior,prior_mean,prior_strength,game,seed,tested_agent_side,opponent_side,outcome_for_tested_agent,winner,tested_agent_discs,opponent_discs,disc_difference,moves_played,passes,runtime_seconds,tested_search_seconds,opponent_search_seconds,tested_decisions,opponent_decisions,tested_seconds_per_decision,opponent_seconds_per_decision,board_rows,board_cols,simulations,weak_tactical_random_move_probability
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,67,66,BLACK,WHITE,win,BLACK,30,4,26,33,3,13.2032043,13.1945836,0.0029977,17,16,0.776151976,0.000187356,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,68,67,WHITE,BLACK,loss,BLACK,4,32,-28,33,1,12.1725585,12.1640844,0.0030404,16,17,0.760255275,0.000178847,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,69,68,BLACK,WHITE,win,BLACK,32,4,28,33,1,13.1539108,13.1456439,0.0028991,17,16,0.773273171,0.000181194,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,70,69,WHITE,BLACK,loss,BLACK,5,31,-26,33,1,12.1626209,12.1537227,0.0031923,16,17,0.759607669,0.000187782,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,71,70,BLACK,WHITE,win,BLACK,21,15,6,34,2,13.145618,13.1369046,0.003138,17,17,0.772759094,0.000184588,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,72,71,WHITE,BLACK,win,WHITE,21,15,6,34,2,11.9792543,11.970516,0.0030844,17,17,0.704148,0.000181435,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,73,72,BLACK,WHITE,win,BLACK,19,17,2,33,1,13.0638363,13.0556676,0.0029092,17,16,0.767980447,0.000181825,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,74,73,WHITE,BLACK,win,WHITE,30,6,24,34,2,11.915378,11.9069946,0.0030486,17,17,0.700411447,0.000179329,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,75,74,BLACK,WHITE,draw,DRAW,18,18,0,34,2,13.2789427,13.270164,0.003063,17,17,0.780597882,0.000180176,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,76,75,WHITE,BLACK,win,WHITE,32,4,28,34,2,12.2842306,12.2753283,0.0031835,17,17,0.722078135,0.000187265,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,77,76,BLACK,WHITE,win,BLACK,21,15,6,32,0,12.8212125,12.8130921,0.0027806,16,16,0.800818256,0.000173788,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,78,77,WHITE,BLACK,win,WHITE,23,13,10,32,0,11.8338277,11.8255828,0.0029121,16,16,0.739098925,0.000182006,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,79,78,BLACK,WHITE,win,BLACK,25,11,14,34,2,13.4007313,13.3916886,0.0030406,17,17,0.787746388,0.000178859,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,80,79,WHITE,BLACK,win,WHITE,23,13,10,33,1,12.6464834,12.6373066,0.0032547,16,17,0.789831662,0.000191453,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,81,80,BLACK,WHITE,win,BLACK,22,14,8,33,1,13.1813662,13.1732195,0.0028631,17,16,0.774895265,0.000178944,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,82,81,WHITE,BLACK,win,WHITE,27,9,18,34,2,12.1598656,12.1511219,0.003177,17,17,0.714771876,0.000186882,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,83,82,BLACK,WHITE,win,BLACK,25,11,14,33,1,13.2007186,13.1926136,0.0028331,17,16,0.776036094,0.000177069,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,84,83,WHITE,BLACK,win,WHITE,19,17,2,32,0,11.6260543,11.6177619,0.0029861,16,16,0.726110119,0.000186631,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,85,84,BLACK,WHITE,win,BLACK,26,10,16,33,1,13.3216996,13.3134026,0.0028871,17,16,0.783141329,0.000180444,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,86,85,WHITE,BLACK,win,WHITE,24,12,12,32,0,11.8827818,11.8743852,0.0030648,16,16,0.742149075,0.00019155,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,87,86,BLACK,WHITE,win,BLACK,23,13,10,34,2,12.8620821,12.8536792,0.0029166,17,17,0.756098776,0.000171565,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,88,87,WHITE,BLACK,win,WHITE,33,3,30,34,2,12.3766508,12.3677564,0.00326,17,17,0.727515082,0.000191765,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,89,88,BLACK,WHITE,win,BLACK,31,5,26,33,1,12.9788997,12.9706978,0.0028924,17,16,0.762982224,0.000180775,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,90,89,WHITE,BLACK,win,WHITE,24,12,12,33,1,12.2797454,12.2710089,0.0030397,16,17,0.766938056,0.000178806,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,91,90,BLACK,WHITE,win,BLACK,33,3,30,33,1,12.5996115,12.5915003,0.0029,17,16,0.740676488,0.00018125,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,92,91,WHITE,BLACK,win,WHITE,32,1,31,32,3,12.8315518,12.8226509,0.0031377,16,16,0.801415681,0.000196106,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,93,92,BLACK,WHITE,win,BLACK,23,13,10,33,1,13.1673659,13.1591191,0.0028588,17,16,0.774065829,0.000178675,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,94,93,WHITE,BLACK,win,WHITE,29,7,22,32,0,12.0441557,12.0357243,0.0031825,16,16,0.752232769,0.000198906,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,95,94,BLACK,WHITE,win,BLACK,21,15,6,33,1,13.1105146,13.1020232,0.0029026,17,16,0.770707247,0.000181413,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,96,95,WHITE,BLACK,win,WHITE,22,14,8,33,1,12.0351347,12.0267611,0.0030797,16,17,0.751672569,0.000181159,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,97,96,BLACK,WHITE,win,BLACK,25,11,14,32,0,13.172232,13.163123,0.0030766,16,16,0.822695187,0.000192288,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,98,97,WHITE,BLACK,win,WHITE,34,2,32,32,0,12.321198,12.3125292,0.0032477,16,16,0.769533075,0.000202981,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,99,98,BLACK,WHITE,loss,WHITE,13,23,-10,32,0,13.0670133,13.0587608,0.0028713,16,16,0.81617255,0.000179456,6,6,400,0.0
10_classical_thompson_beta_prior_sweep_vs_weak_tactical,beta_0_5_0_5,0.5,0.5,0.5,1.0,100,99,WHITE,BLACK,win,WHITE,21,15,6,34,2,12.2335566,12.2249302,0.0030701,17,17,0.719113541,0.000180594,6,6,400,0.0
